"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Putnam County, WV"	"54079"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Raleigh County, WV"	"54081"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Raleigh County, WV"	"54081"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Wayne County, WV"	"54099"	"Decedent's home"	"4"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Wood County, WV"	"54107"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Jefferson County, WI"	"55055"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Kenosha County, WI"	"55059"	"Decedent's home"	"4"	35	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	"Decedent's home"	"4"	121	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	"Other"	"7"	66	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Racine County, WI"	"55101"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Walworth County, WI"	"55127"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Washington County, WI"	"55131"	"Decedent's home"	"4"	37	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Washington County, WI"	"55131"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Waukesha County, WI"	"55133"	"Medical Facility - Inpatient"	"1"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Waukesha County, WI"	"55133"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Waukesha County, WI"	"55133"	"Decedent's home"	"4"	121	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Wisconsin"	"55"	"Waukesha County, WI"	"55133"	"Other"	"7"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Medical Facility - Outpatient or ER"	"2"	42	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Decedent's home"	"4"	86	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Other"	"7"	55	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Decedent's home"	"4"	41	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arkansas"	"05"	"Saline County, AR"	"05125"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Arkansas"	"05"	"Washington County, AR"	"05143"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Inpatient"	"1"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Outpatient or ER"	"2"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Decedent's home"	"4"	94	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Other"	"7"	82	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Orange County, CA"	"06059"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Orange County, CA"	"06059"	"Decedent's home"	"4"	49	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Orange County, CA"	"06059"	"Other"	"7"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Outpatient or ER"	"2"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"San Diego County, CA"	"06073"	"Decedent's home"	"4"	115	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"San Diego County, CA"	"06073"	"Other"	"7"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Ventura County, CA"	"06111"	"Decedent's home"	"4"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"California"	"06"	"Ventura County, CA"	"06111"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Decedent's home"	"4"	73	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Other"	"7"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Medical Facility - Inpatient"	"1"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Decedent's home"	"4"	102	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Other"	"7"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Delaware"	"10"	"Sussex County, DE"	"10005"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Bay County, FL"	"12005"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Brevard County, FL"	"12009"	"Decedent's home"	"4"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Broward County, FL"	"12011"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Broward County, FL"	"12011"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Broward County, FL"	"12011"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Citrus County, FL"	"12017"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Citrus County, FL"	"12017"	"Decedent's home"	"4"	58	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Citrus County, FL"	"12017"	"Other"	"7"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Duval County, FL"	"12031"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Decedent's home"	"4"	74	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lake County, FL"	"12069"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lake County, FL"	"12069"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lake County, FL"	"12069"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lake County, FL"	"12069"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lee County, FL"	"12071"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lee County, FL"	"12071"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lee County, FL"	"12071"	"Decedent's home"	"4"	107	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Lee County, FL"	"12071"	"Other"	"7"	38	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Marion County, FL"	"12083"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
